SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
120,19.968,39,10,none,7.5,400,4936,12.34,212,186,0.877358,0.823359,0.761678,0.732902,0.714865,0.680137,0.62847,0.62847,0.62847,0.62847,0.457005
121,19.968,39,10,none,7.5,400,4856,12.14,204,188,0.921569,0.840758,0.781277,0.740186,0.709809,0.666274,0.620747,0.620747,0.620747,0.620747,0.456892
122,20.48,40,10,none,7.5,400,5009,12.5225,176,165,0.9375,0.833925,0.771647,0.748135,0.725646,0.688493,0.638496,0.638496,0.638496,0.638496,0.458711
123,20.48,40,10,none,7.5,400,5060,12.65,154,141,0.915584,0.813149,0.784411,0.756256,0.732057,0.699729,0.648749,0.648749,0.648749,0.648749,0.457823
124,19.456,38,10,none,7.5,400,5096,12.74,162,155,0.95679,0.855166,0.818735,0.779217,0.750782,0.70647,0.657121,0.657121,0.657121,0.657121,0.457789
125,17.92,35,10,none,7.5,400,4971,12.4275,161,143,0.888199,0.812854,0.7744,0.748248,0.721817,0.689819,0.641151,0.641151,0.641151,0.641151,0.458999
126,18.432,36,10,none,7.5,400,4904,12.26,172,156,0.906977,0.822984,0.768396,0.737106,0.712124,0.683622,0.629753,0.629753,0.629753,0.629753,0.459274
127,18.432,36,10,none,7.5,400,4949,12.3725,162,150,0.925926,0.836081,0.775502,0.757172,0.727223,0.688113,0.635312,0.635312,0.635312,0.635312,0.459211
128,17.92,35,10,none,7.5,400,4856,12.14,178,163,0.91573,0.808108,0.772613,0.744439,0.711837,0.676128,0.626145,0.626145,0.626145,0.626145,0.458605
129,16.384,32,10,none,7.5,400,5141,12.8525,198,183,0.924242,0.858473,0.802454,0.771803,0.746419,0.714995,0.663996,0.663996,0.663996,0.663996,0.458055
130,18.432,36,10,none,7.5,400,4931,12.3275,190,170,0.894737,0.852381,0.782194,0.753153,0.725728,0.692973,0.635086,0.635086,0.635086,0.635086,0.458323
131,17.92,35,10,none,7.5,400,5006,12.515,236,220,0.932203,0.862617,0.807662,0.776255,0.74831,0.708378,0.645103,0.645103,0.645103,0.645103,0.45822
132,19.968,39,10,none,7.5,400,4972,12.43,292,268,0.917808,0.823589,0.7915,0.764974,0.747356,0.710257,0.638618,0.638618,0.638618,0.638618,0.458415
133,20.48,40,10,none,7.5,400,5090,12.725,326,315,0.966258,0.903066,0.856295,0.814607,0.785496,0.739494,0.662756,0.662756,0.662756,0.662756,0.457744
134,19.968,39,10,none,7.5,400,4946,12.365,361,332,0.919668,0.880392,0.806578,0.774746,0.748966,0.710477,0.657185,0.657185,0.657185,0.657185,0.457135
135,20.48,40,10,none,7.5,400,5166,12.915,320,298,0.93125,0.898352,0.835697,0.813305,0.783162,0.747029,0.690476,0.690476,0.690476,0.690476,0.45681
136,20.48,40,10,none,7.5,400,4780,11.95,288,264,0.916667,0.858169,0.816722,0.770292,0.741629,0.69766,0.644552,0.644552,0.644552,0.644552,0.457304
137,20.48,40,10,none,7.5,400,4994,12.485,246,222,0.902439,0.851852,0.815526,0.793605,0.771888,0.730367,0.67675,0.67675,0.67675,0.67675,0.456692
138,19.456,38,10,none,7.5,400,4682,11.705,240,222,0.925,0.870528,0.819221,0.77047,0.743189,0.691225,0.637825,0.637825,0.637825,0.637825,0.456825
139,20.992,41,10,none,7.5,400,5103,12.7575,212,197,0.929245,0.898276,0.863776,0.823388,0.799521,0.752142,0.688952,0.688952,0.688952,0.688952,0.456204
140,20.48,40,10,none,7.5,400,4746,11.865,172,159,0.924419,0.814655,0.772858,0.754019,0.737971,0.702148,0.64373,0.64373,0.64373,0.64373,0.455636
141,20.48,40,10,none,7.5,400,4902,12.255,222,205,0.923423,0.846886,0.819016,0.789502,0.769108,0.728391,0.668532,0.668532,0.668532,0.668532,0.454801
142,19.968,39,10,none,7.5,400,4581,11.4525,276,247,0.894928,0.84982,0.797349,0.758822,0.729842,0.6864,0.626866,0.626866,0.626866,0.626866,0.454218
