SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
231,17.92,35,10,none,7.5,400,0,0,504,0,0,0,0,0,0,0,0,0,0,0,687.089
232,18.432,36,10,none,7.5,400,0,0,422,0,0,0,0,0,0,0,0,0,0,0,683.647
233,18.432,36,10,none,7.5,400,0,0,390,0,0,0,0,0,0,0,0,0,0,0,680.919
234,18.432,36,10,none,7.5,400,0,0,370,0,0,0,0,0,0,0,0,0,0,0,678.213
235,18.432,36,10,none,7.5,400,0,0,338,0,0,0,0,0,0,0,0,0,0,0,675.528
236,18.432,36,10,none,7.5,400,0,0,328,0,0,0,0,0,0,0,0,0,0,0,672.865
237,18.432,36,10,none,7.5,400,0,0,382,0,0,0,0,0,0,0,0,0,0,0,670.206
238,18.432,36,10,none,7.5,400,0,0,390,0,0,0,0,0,0,0,0,0,0,0,667.583
239,18.432,36,10,none,7.5,400,0,0,400,0,0,0,0,0,0,0,0,0,0,0,664.966
240,18.432,36,10,none,7.5,400,0,0,396,0,0,0,0,0,0,0,0,0,0,0,662.384
241,18.432,36,10,none,7.5,400,0,0,356,0,0,0,0,0,0,0,0,0,0,0,659.468
242,18.432,36,10,none,7.5,400,0,0,338,0,0,0,0,0,0,0,0,0,0,0,656.898
243,17.92,35,10,none,7.5,400,0,0,375,0,0,0,0,0,0,0,0,0,0,0,653.775
244,18.432,36,10,none,7.5,400,0,0,384,0,0,0,0,0,0,0,0,0,0,0,651.2
245,18.432,36,10,none,7.5,400,0,0,376,0,0,0,0,0,0,0,0,0,0,0,648.684
246,17.92,35,10,none,7.5,400,0,0,374,0,0,0,0,0,0,0,0,0,0,0,645.623
247,18.432,36,10,none,7.5,400,0,0,379,0,0,0,0,0,0,0,0,0,0,0,643.232
248,18.432,36,10,none,7.5,400,0,0,352,0,0,0,0,0,0,0,0,0,0,0,640.874
249,18.432,36,10,none,7.5,400,0,0,316,0,0,0,0,0,0,0,0,0,0,0,638.442
250,18.432,36,10,none,7.5,400,0,0,318,0,0,0,0,0,0,0,0,0,0,0,636.012
251,17.92,35,10,none,7.5,400,0,0,282,0,0,0,0,0,0,0,0,0,0,0,633.237
